"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"1260_150.979_0.834",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,8.8655031001397e-06,1.03045798348077e-07,1.25843378162579e-07,2.38591474795283e-06,2.98460325669219e-07,9.89257185881259e-06,1.92333369420457e-06,2.75815627240278e-06,2.28882655796648e-07
"7355_151.039_2.642",0.00215496636810481,0.000245724136972512,5.3948913906675e-05,1.71155576642928e-05,2.0221293132726e-05,1.78639727196498e-05,2.18488423651801e-05,0.00127268869642033,0.0012882763460952,0.000603220537562051,0.000719284218245688,0.00011720817134745,3.95564407856425e-05,1.92333369420457e-06,0.00368546596308815,0.0015720547720405
"7011_151.039_2.584",0.000226474492505602,0.000272717264680642,6.39210639395459e-05,4.94753498300961e-05,5.95771096604623e-05,3.13421321917398e-05,2.82611187894313e-05,0.000276954603966297,3.46159783152728e-05,3.45977295577579e-06,1.90781176259742e-06,6.5187859305203e-05,3.93885378999247e-05,1.92333369420457e-06,8.52316361919282e-05,0.000101717676039107
"5314_151.039_2.078",9.39901682304806e-05,0.000103452440371049,8.97317971954222e-06,1.71062314527566e-05,2.69696054831978e-05,2.93618706229938e-05,2.21504326831359e-05,0.000107513992890251,5.27764513109431e-05,9.78943604040526e-06,1.3234741278565e-05,2.31437600113694e-06,2.50886420171701e-06,1.92333369420457e-06,4.9228231346228e-05,3.10275825099636e-05
"5625_151.039_2.173",0.00013714533044474,7.57459307993997e-05,1.38048525244324e-05,4.40137427345164e-06,2.71143317278933e-06,1.43091620901519e-05,6.15164933423765e-06,0.000172530837933165,6.36636380379111e-05,1.13269130697189e-05,2.17099923896481e-05,3.25118893531048e-06,2.50886420171701e-06,1.92333369420457e-06,7.19179469111332e-05,6.63726383778226e-05
"18913_151.039_5.237",5.50531539719297e-05,6.5781487305031e-05,1.94495310003025e-05,3.27589844447659e-05,2.6437999010363e-05,4.07647880152314e-05,1.58962639700105e-05,2.36051314100046e-05,2.89128945539987e-05,4.54727839597003e-06,8.7047258483531e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,4.12367556311052e-06,4.01090194656105e-05
"12007_151.039_3.561",9.7679574775577e-05,6.27551899710838e-05,5.55914343304176e-06,8.10847380910895e-06,1.62995516361167e-05,6.26953181651898e-06,4.76075686564773e-06,3.19134110200126e-05,5.60314924345117e-05,2.64828308599383e-05,3.66946144627987e-05,2.83258113317473e-06,2.50886420171701e-06,1.92333369420457e-06,0.000103277124345603,4.76937381152783e-05
"14593_151.039_4.132",4.9318698484523e-05,0.000644906082750523,0.000112938956293715,0.000209833525652836,5.89245903733216e-06,6.56188335713207e-06,1.35880748970598e-05,1.73342075610736e-05,1.57171915422384e-05,2.99741980828363e-06,6.18232408414033e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,4.41457734480498e-05
"13389_151.039_3.892",9.12994698078739e-05,0.000108643786726663,6.39805435349978e-05,2.20840683656515e-05,1.89378554462574e-05,3.57523344902569e-05,1.7298276436521e-05,4.37580236268582e-05,4.65679770897208e-05,1.35282203540128e-05,2.51973460390125e-05,7.10208118967301e-07,2.50886420171701e-06,1.92333369420457e-06,4.94795871421617e-05,4.65356907126396e-05
"2148_152.917_0.956",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,2.67455832400358e-05,1.03045798348077e-07,1.25843378162579e-07,1.01617767977746e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,2.28882655796648e-07
"2695_152.917_1.077",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,4.81235963766291e-05,1.03045798348077e-07,1.25843378162579e-07,1.46073559510284e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,2.28882655796648e-07
"4945_153.019_1.911",0.000100716053197556,0.000166389027083228,3.59640845705053e-05,3.24824267068532e-05,0.000306546523399672,5.4739196941052e-05,5.54759176365514e-05,3.52325400889572e-05,2.44626896190147e-05,1.24090193999784e-06,2.85421584679982e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,1.71130032142265e-05
"15059_153.019_4.26",2.46625370689104e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,3.20343981581852e-05,0.000577219954542954,1.92738357654444e-05,5.78312584262373e-06,1.36677909432423e-05,1.25843378162579e-07,9.43406517199285e-08,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,6.5801864855869e-05
"8120_153.019_2.848",0.000133208296125074,1.22691741487801e-05,3.02778479323195e-06,2.04695619091898e-06,2.41642034401222e-05,5.29713743820846e-05,3.05409812179209e-05,2.21595800837116e-05,4.30943969054057e-05,6.76963970644209e-07,2.93809058246957e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,3.42285922822757e-05
"6054_153.019_2.332",4.29594785699509e-05,4.8921380521321e-05,1.80073774375315e-06,2.50258537815173e-05,1.91382295371832e-05,1.38204090252036e-05,3.52524729316436e-06,2.6384466921035e-05,2.78993735526464e-05,2.2080205995074e-06,6.38500961409629e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.6150170512437e-05,2.49382894994573e-05
"10272_153.019_3.249",6.72873297550846e-05,6.71537398782137e-05,1.69108304662304e-05,2.04695619091898e-06,4.85514937609048e-05,2.43206962695002e-05,4.27809021781842e-05,1.69622644547511e-05,3.54389887130292e-05,1.25843378162579e-07,4.24364052252571e-07,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,2.5938615944738e-05
"11400_153.03_3.453",8.54660189634014e-07,7.77783336867963e-05,9.29530387231635e-06,0.000198733952229309,3.68195439436712e-05,1.98728946498733e-05,1.69524934245195e-05,4.77065755423248e-06,3.16725523698087e-06,6.63527944865084e-06,1.50082908562037e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,1.50249720289694e-05
"5346_153.055_2.081",0.000311774132229002,0.000259754586743398,8.2320899890571e-05,5.83362044849999e-05,3.54578807564392e-05,2.97282627857605e-05,1.96064918325536e-05,0.000169122530138339,0.000226085830564128,5.49382480923447e-05,0.000110732500764195,1.42648515732952e-05,1.12613320460487e-05,1.92333369420457e-06,0.000398810748091918,0.000162723385471874
"5641_153.055_2.195",0.000819457348310239,0.000280081491237772,3.56022938485635e-05,0.000130776099951492,3.41889155759005e-05,3.83795014335107e-05,3.33510965600021e-05,0.000461449894996302,0.000546961277885938,0.00014559130737959,0.000285552171438914,2.94620023092454e-05,2.21514633785432e-05,1.92333369420457e-06,0.000995528298107361,0.000412320972397585
"19160_153.128_5.301",0.000126912629228795,0.000165748629210168,6.47792484834821e-05,6.68045994859399e-05,6.077811191048e-05,7.49836895086622e-05,1.89700072334402e-05,6.13367467774918e-05,6.28584405115692e-05,1.57970534789827e-05,2.45861419019463e-05,8.95083296748747e-07,0.000114792517055117,1.86308797638564e-05,5.76465474158476e-05,9.78378549294265e-05
"17046_155.071_4.712",4.59832723834245e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,3.42672999197955e-06,4.47151232183993e-07,6.61837487409464e-07,1.51534400341402e-05,2.47834161534482e-05,1.30807664904797e-06,1.59108789607412e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,1.52402998897582e-05
"15849_155.107_4.414",8.40646715751251e-05,4.46019613596009e-05,2.05071644382197e-05,2.04695619091898e-06,3.08602350631362e-05,7.62550878184173e-05,1.40744961188716e-05,3.99378596112891e-05,3.06056536449121e-05,2.89270982342972e-05,5.23264391360167e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,9.95220801492883e-05
"12186_155.107_3.636",2.41569980424961e-05,9.04437292417351e-05,9.20139376194531e-06,4.03358695463096e-05,2.67609010183329e-05,5.26405180391164e-05,3.45982676338048e-06,9.80262350798397e-06,5.8417666609084e-06,2.05058767334924e-05,1.87232734894283e-05,2.98460325669219e-07,9.30796088409977e-05,4.18685834693546e-06,2.84111221027118e-05,3.49387475387916e-05
"20159_155.143_5.59",4.31082871388202e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.07300510197421e-05,6.23501783891117e-05,6.61837487409464e-07,1.9709112452027e-06,5.95157870399051e-06,2.84844041105354e-06,1.62615774688757e-06,2.98460325669219e-07,3.1540579747408e-05,1.92333369420457e-06,2.75815627240278e-06,2.98403681743464e-05
"10339_157.05_3.312",1.45202977880195e-06,4.09473456195516e-06,1.80073774375315e-06,9.50799869161948e-05,5.21574462212727e-07,4.47151232183993e-07,6.61837487409464e-07,5.32865415278797e-07,5.36532422476373e-07,1.45413424904481e-05,2.74305179115665e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,2.76250831742509e-05
"19200_157.086_5.321",0.000113918866525965,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,2.47665531909806e-06,7.51445877332884e-06,6.61837487409464e-07,4.47405803738336e-05,6.34272135053012e-05,8.34472445730422e-07,2.99832033465972e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,5.01256735537817e-05
"7726_157.086_2.795",1.80583290849361e-05,2.1241097724541e-05,2.60175111524744e-06,4.44225710597477e-06,0.000122345597134606,0.000102684164647212,1.51946071805887e-05,1.10851375368867e-05,1.40231139334961e-05,7.12734221567344e-07,1.40534391026662e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,3.44832918612705e-05
"11464_157.086_3.478",0.000216369064926572,0.000155876773247974,1.80073774375315e-06,1.27724227836027e-05,3.83078720817498e-05,3.41530351006772e-05,4.16008203671393e-06,0.000153322786991551,0.000159710472084189,2.75292643105885e-06,1.41753701068028e-05,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000162986212986089
"6538_157.086_2.45",1.46422350646918e-05,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.08108120836297e-05,3.66846295655685e-05,6.00199810118967e-06,4.99815086356529e-06,8.93888927882607e-06,1.25843378162579e-07,2.51660227985358e-06,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,1.2339150585275e-05
"120_158.978_0.702",0.000313427663384441,0.000576493863429552,0.000319848368135814,0.00115714898689966,0.000186412538305446,0.000163183233479098,9.95826555385333e-05,0.00010112332765469,0.000126755125990244,0.000134336747960146,0.00016482859899802,0.000156848888344481,0.000734430936598607,0.000376431526651819,0.000344072033940279,0.000233547804509638
"24398_159.045_6.957",1.50498253809873e-07,4.09473456195516e-06,1.80073774375315e-06,2.04695619091898e-06,5.03556968764714e-05,0.000141702718361716,5.26277398701516e-05,8.99082083905755e-08,1.03045798348077e-07,1.25843378162579e-07,9.43406517199285e-08,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,4.58510142572166e-05
"20942_159.045_5.872",1.58458693055025e-06,7.20183217626761e-05,7.69340481800415e-05,4.16763606774914e-05,0.000626148423061446,0.000937678166395434,0.00059701682305736,2.69895266864515e-06,8.91303953772546e-06,1.25843378162579e-07,9.43406517199285e-08,2.98460325669219e-07,2.50886420171701e-06,1.92333369420457e-06,2.75815627240278e-06,0.000188141621093023
"6673_159.066_2.501",0.000605198422820749,0.00102350952120776,0.000367379598010548,0.0004565081223081,0.000453824369634129,0.000447345311062553,0.000121848244936126,0.000310391395148859,0.000278645815440041,4.27694479708563e-05,5.11582370706674e-05,4.76730712107389e-06,0.000825406572006296,0.000142288563280651,0.00035929614762608,0.000438376817877119
"7424_159.066_2.69",4.58525253152198e-05,0.000130619589644955,3.20711719569299e-05,0.000101611945077919,0.000132698156752573,0.000144597885395979,3.70087414341705e-05,1.83655078388912e-05,1.960862829373e-05,1.46595494636176e-05,8.32540706661892e-06,2.98460325669219e-07,0.000199507797875171,2.60255024588704e-05,3.69155584676687e-05,4.23834784350472e-05
"8788_159.066_2.982",3.09462427744259e-05,0.000133225329820744,3.34177431787796e-05,5.45880276559813e-05,0.000147898128663643,0.000142898055230623,2.85847332539568e-05,1.9053030800033e-05,1.50674971514536e-05,1.07081288809633e-05,1.40476907552285e-05,2.98460325669219e-07,0.00010516753894147,1.87212587440716e-05,3.99519594253926e-05,5.91093568078892e-05
"8408_159.066_2.936",1.49287786093235e-05,9.30387486579444e-05,1.67397112695445e-05,4.27873926718442e-05,0.000102074078159264,7.37143795984119e-05,4.46368622085164e-05,1.25582171218942e-05,5.64969866058743e-06,5.67150650695434e-06,8.79130087076776e-06,2.98460325669219e-07,7.51646107024918e-05,1.51062265191994e-05,3.48424937363774e-05,3.8648230534713e-05
"9679_159.066_3.152",4.62207432360696e-05,6.15838166999172e-05,1.63479879890864e-05,2.49869732443228e-05,4.75945646512726e-05,5.30728726305263e-05,1.09535224777467e-05,2.0072600100024e-05,1.9251753761626e-05,8.15590276054017e-06,1.24348333249488e-05,2.98460325669219e-07,4.12742258927736e-05,1.92333369420457e-06,1.17740247044505e-05,4.29880459609413e-05
