"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"7054_151.075_3.132",34746.1615,12964.9615,3857.45575,13700.08,129681.105,109271.955,122201.49,47280.5195,18079.4505,7303.41025,19085.9055,21032.177,2102.57565,2582.9877,28069.5385,53407.799
"5698_151.075_2.639",73209.975,11378.4545,2784.673,15075.6955,40043.182,42014.5665,71650.65,89398.835,27506.6875,1801.11035,1363.31715,16615.8495,2230.58185,2139.865,11797.0235,25608.8615
"27159_151.097_9.408",266511.84,46851.673,8371.87665,36796.32,19157.9045,13151.053,12697.489,501757.5,95763.695,20868.752,72712.085,26433.424,6813.1268,2768.1792,72090,67377.216
"11034_152.017_4.304",30453.077,59597.2585,4844.7855,116479.5975,15597.19,87678.69,19155.3135,228587.22,29286.859,41669.16,252508.54,18918.4735,2779.4014,2930.15715,10968.7565,64856.086
"4558_153.055_2.169",128288.495,6650.55245,4266.9805,7485.94875,12317.252,13080.868,19243.747,267690.39,59792.631,2382.42385,9670.52715,15218.202,3958.3627,2586.2041,8700.5235,23523.114
"10580_153.055_4.178",21410.971,48636.045,4644.03265,36976.585,12065.598,27478.8085,11484.43675,17196.5005,9436.27835,0,2948.7035,7053.91,1663.23835,1550.6917,6454.34865,13483.4535
"27141_153.068_9.4",203988.24,497167.69,1175.930675,31082.5335,330035.32,161502.475,334368.7,512362.86,283942.21,52846.242,174248.04,188685.255,0,846.1681,259914.57,220188.61
"10327_154.123_4.113",14997.55,1795.12575,267.737975,1942.2205,0,0,0,36746.424,27748.5895,294480.28,1584967.75,1075874.15,332.873245,994.74475,14450.383,211116.94
"8934_154.123_3.729",901.3882,1532.5863,98.176225,3421.97665,0,646.11345,0,3571.04235,960.30625,229932.57,837121.58,556214.68,708.786435,601.99853,6067.8712,127443.455
"130_154.907_0.679",636.98389,820.30018,5002.377,916.792985,1469.54255,1270.8867,2845.72555,127085.16,6923.136,7642.82685,24325.733,2279.255385,0,0,2270.05845,931.74795
