row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,A1.mzML Peak area,A2.mzML Peak area,A3.mzML Peak area,A4.mzML Peak area,A5.mzML Peak area,A6.mzML Peak area,A7.mzML Peak area,A8.mzML Peak area,A9.mzML Peak area,A10.mzML Peak area,A11.mzML Peak area,A12.mzML Peak area,A13.mzML Peak area,A14.mzML Peak area,A15.mzML Peak area,A16.mzML Peak area,A17.mzML Peak area,A18.mzML Peak area,pooled_QC_1.mzML Peak area
7054,151.075446,3.131894,,,,281,,,,,,,34746.1615,47280.5195,18079.4505,7303.41025,19085.9055,21032.177,2102.57565,2582.9877,28069.5385,12964.9615,3857.45575,13700.08,129681.105,109271.955,122201.49,4354.2144,3807.5028,4452.0294,53407.799
5698,151.0754641,2.6389058,,,,1320,633,[M+NH4]+,,2,5697;5698,133.04119,73209.975,89398.835,27506.6875,1801.11035,1363.31715,16615.8495,2230.58185,2139.865,11797.0235,11378.4545,2784.673,15075.6955,40043.182,42014.5665,71650.65,5427.47195,4328.54885,7874.52215,25608.8615
27159,151.0965666,9.407542,,,,1797,,,,,,,266511.84,501757.5,95763.695,20868.752,72712.085,26433.424,6813.1268,2768.1792,72090,46851.673,8371.87665,36796.32,19157.9045,13151.053,12697.489,16768.40325,10002.5875,19859.581,67377.216
46493,151.9799224,13.980274,,,,3,2599,[M+Na]+,,2,46442;46493,128.991,6241.3062,2692.44135,3680.4137,3836.7639,2678.8316,5354.4729,3989.4635,4966.94735,6472.4104,8926.01535,8641.6895,9756.462,8526.0715,10176.199,8850.28985,8352.9415,8585.0408,9655.943,9287.489
11034,152.0166014,4.3044877,,,,,,,,,,,30453.077,228587.22,29286.859,41669.16,252508.54,18918.4735,2779.4014,2930.15715,10968.7565,59597.2585,4844.7855,116479.5975,15597.19,87678.69,19155.3135,7360.1801,14396.894,12663.41,64856.086
2584,152.1070589,1.5883081,,,,,,,,,,,77702.21,60753.9765,65009.648,54697.633,41815.939,37589.1175,29169.3705,16228.8985,30331.2645,43178.0115,32922.125,46533.6485,36918.2705,16704.821,18781.9425,13180.66685,34220.745,17417.5565,40244.9715
25749,153.0484574,9.033582,,,,,,,,,,,208604.565,175421.095,205432.2,267457.26,206250.81,248928.97,408632.03,493844.61,224629.765,311179.42,360321.36,322447.205,247929.73,202494.8,269871.875,282319.09,264359.324,419583.21,273359.58
46548,153.054531,14.075977,,,,766,,,,,,,12075.4715,9731.9055,7822.87915,6975.9045,6324.9419,10923.858,7548.5523,4576.3768,18788.702,29671.3535,21962.261,19441.289,23539.21,28103.5225,26134.6485,17423.84815,10241.4197,60320.236,21658.158
46649,153.0545431,15.540018,,,,,,,,,,,10314.3225,6487.42795,3714.87635,4857.066,4732.03935,9276.2073,5369.533,3948.736,5845.99735,19398.95,12598.683,28403.4755,44546.7285,13018.881,10272.948,8022.47025,3490.77175,16342.313,19385.4455
46600,153.0545828,15.459525,,,,1499,,,,,,,11676.9155,8942.20285,6498.44615,3341.1286,1743.14825,12448.427,6535.4737,5401.57345,14263.9525,32291.1975,30883.779,61782.87,15398.7915,60140.02,38815.166,4731.81,25694.4315,58929.643,50411.8045
