ID1,ID2,EdgeType,Score,Annotation
130,188,MS1 annotation,2,[2M-H2O+NH4]+ [M-H+2Na]+ dm/z=64.9903
197,230,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
203,349,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9742
206,223,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
210,224,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
222,252,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
224,276,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
237,249,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
238,293,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
241,302,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
258,363,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
259,464,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
259,262,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
261,313,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9738
264,394,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
267,325,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.9738
267,294,MS1 annotation,3,[2M+2H]+2 [M+K]+ dm/z=37.9556
279,587,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
280,458,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
289,340,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
289,336,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9737
290,306,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.9820
291,384,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
292,445,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9738
294,325,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.9818
294,325,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.9818
299,381,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
301,311,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.9739
303,389,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
311,416,MS1 annotation,3,[2M+Na]+ [M+K]+ dm/z=249.9585
315,323,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
316,456,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
316,503,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9742
330,398,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.9739
333,410,MS1 annotation,2,[M+Na]+ [2M-2H2O+H]+ dm/z=166.1357
336,361,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9735
338,483,MS1 annotation,3,[M-2H2O+H]+ [2M+K]+ dm/z=673.7845
338,593,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9732
338,622,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9732
340,363,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
341,421,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
342,388,MS1 annotation,4,[M+Na]+ [2M+K]+ dm/z=471.8200
343,481,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
348,397,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
352,368,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9741
352,497,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
353,513,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
353,597,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9741
357,448,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
358,399,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
358,408,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9737
359,395,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
367,380,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9742
367,405,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
368,614,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
372,413,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9736
372,446,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
379,480,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9744
381,487,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9737
383,446,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
385,422,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
386,437,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9736
387,521,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9741
387,469,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9738
388,409,MS1 annotation,4,[M+K]+ [M+Na]+ dm/z=15.9739
389,391,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9737
390,514,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
391,415,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
396,558,MS1 annotation,2,[2M+Na]+ [M+K]+ dm/z=385.9334
397,705,MS1 annotation,2,[M-2H2O+H]+ [2M+K]+ dm/z=453.8480
398,593,MS1 annotation,3,[2M+K]+ [M+Na]+ dm/z=623.7681
398,627,MS1 annotation,3,[M-2H2O+H]+ [2M+K]+ dm/z=369.8865
398,617,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9736
401,486,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
402,479,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9744
403,500,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
403,689,MS1 annotation,2,[M-2H2O+H]+ [2M+K]+ dm/z=537.8092
403,663,MS1 annotation,2,[M+K]+ [2M+Na]+ dm/z=455.8457
407,447,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
408,512,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9737
409,528,MS1 annotation,4,[2M+Na]+ [M+K]+ dm/z=439.8722
415,489,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
419,426,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9737
419,434,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9738
420,451,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
420,488,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
421,475,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
422,499,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
432,480,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
433,472,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
435,533,MS1 annotation,2,[2M+K]+ [M+Na]+ dm/z=417.8811
438,505,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
440,529,MS1 annotation,4,[2M+Na]+ [M+K]+ dm/z=355.9109
440,470,MS1 annotation,4,[M+Na]+ [M+K]+ dm/z=15.9739
441,587,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
441,484,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
442,461,MS1 annotation,4,[M+Na]+ [2M+K]+ dm/z=555.7813
448,471,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
449,470,MS1 annotation,4,[M+Na]+ [2M+K]+ dm/z=387.8585
451,477,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
452,457,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9744
452,527,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
453,525,MS1 annotation,4,[M+Na]+ [2M+K]+ dm/z=151.9485
454,471,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9738
454,455,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9740
458,592,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
459,621,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9752
460,568,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
461,496,MS1 annotation,4,[M+K]+ [M+Na]+ dm/z=15.9739
464,584,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9736
465,589,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9746
465,591,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9734
466,537,MS1 annotation,2,[2M+K]+ [M+Na]+ dm/z=485.8682
468,568,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
469,545,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
472,584,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9741
473,478,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
473,495,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9737
474,531,MS1 annotation,4,[M+Na]+ [2M+K]+ dm/z=439.8729
475,478,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
477,481,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9738
480,493,MS1 annotation,2,[M+Na]+ [2M+K]+ dm/z=349.8933
483,622,MS1 annotation,3,[2M+Na]+ [M-2H2O+H]+ dm/z=657.8112
483,548,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
484,485,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9737
492,494,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
494,655,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
495,540,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
496,590,MS1 annotation,4,[2M+Na]+ [M+K]+ dm/z=523.8333
499,579,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
500,615,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
503,639,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
507,732,MS1 annotation,2,[M-2H2O+H]+ [2M+K]+ dm/z=385.8604
507,698,MS1 annotation,2,[M+K]+ [2M+Na]+ dm/z=303.8974
508,712,MS1 annotation,2,[M-2H2O+H]+ [2M+K]+ dm/z=469.8218
514,685,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
515,535,MS1 annotation,4,[2M+Na]+ [M+K]+ dm/z=543.8990
515,574,MS1 annotation,4,[M+Na]+ [M+K]+ dm/z=15.9738
520,706,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9740
521,586,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9739
524,658,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.9739
525,612,MS1 annotation,4,[M+K]+ [M+Na]+ dm/z=15.9739
530,533,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.9738
531,562,MS1 annotation,4,[M+K]+ [M+Na]+ dm/z=15.9738
532,575,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9741
