ID1,ID2,EdgeType,Score,Annotation
5,20,MS1 annotation,3,[M+Cl]- [2M+FA]- dm/z=155.9600
5,15,MS1 annotation,2,[M-H]- [M-H2O+FA]- dm/z=27.9950
7,12,MS1 annotation,2,[M-H]- [M+FA]- dm/z=46.0059
10,13,MS1 annotation,2,[M-H]- [M-H2O+FA]- dm/z=27.9951
11,20,MS1 annotation,3,[M+Cl]- [M+FA]- dm/z=10.0288
32,35,MS1 annotation,2,[M-H]- [M+FA]- dm/z=46.0059
48,80,MS1 annotation,2,[2M+FA]- [M+Cl]- dm/z=269.9459
53,62,MS1 annotation,2,[2M-2H2O-H]- [M+Cl]- dm/z=197.9457
68,473,MS1 annotation,2,[2M-2H2O-H]- [M+Cl]- dm/z=235.9107
81,334,MS1 annotation,2,[2M-2H2O-H]- [M+Cl]- dm/z=455.8472
93,367,MS1 annotation,2,[2M-2H2O-H]- [M+Cl]- dm/z=271.9512
98,169,MS1 annotation,2,[M+Cl]- [M-2H2O-2H+Na]- dm/z=50.0152
106,475,MS1 annotation,2,[2M-2H2O-H]- [M+Cl]- dm/z=387.8595
112,174,MS1 annotation,2,[2M-2H2O-H]- [M+Cl]- dm/z=349.8955
165,401,MS1 annotation,2,[2M-2H2O-H]- [M+Cl]- dm/z=287.9248
168,1105,MS1 annotation,2,[M+Cl]- [2M-2H2O-H]- dm/z=67.9878
244,490,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0159
342,757,MS1 annotation,2,[2M-H2O-2H+Na]- [M+Cl]- dm/z=568.7545
347,488,MS1 annotation,2,[2M-2H2O-H]- [M+Cl]- dm/z=355.9117
415,584,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0155
429,517,MS1 annotation,2,[M+Cl]- [M-2H2O-2H+Na]- dm/z=50.0157
439,806,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0149
477,1205,MS1 annotation,2,[M+Cl]- [2M-2H2O-H]- dm/z=423.8991
555,880,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0101
580,947,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0152
617,1077,MS1 annotation,2,[M+Cl]- [M-2H2O-2H+Na]- dm/z=50.0152
633,926,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0153
707,978,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0157
816,963,MS1 annotation,2,[M+Cl]- [M-2H2O-2H+Na]- dm/z=50.0157
864,1034,MS1 annotation,2,[M-2H2O+FA]- [M-H]- dm/z=9.9861
879,1118,MS1 annotation,2,[M-H2O-H]- [2M+Cl]- dm/z=643.8378
882,883,MS1 annotation,2,[M+Cl]- [M-2H2O-2H+Na]- dm/z=50.0118
922,1052,MS1 annotation,2,[M+Cl]- [M-2H2O-2H+Na]- dm/z=50.0160
974,1114,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0162
1043,1118,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0158
1062,1065,MS1 annotation,2,[M+Cl]- [M-2H2O-2H+Na]- dm/z=50.0087
1225,1302,MS1 annotation,2,[M+FA]- [M-H]- dm/z=46.0058
1260,1627,MS1 annotation,2,[M+FA]- [M-H]- dm/z=46.0059
1288,1391,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0157
1337,1392,MS1 annotation,2,[M+Cl]- [M-2H2O-2H+Na]- dm/z=50.0169
1372,1481,MS1 annotation,2,[M+Cl]- [M-2H2O-2H+Na]- dm/z=50.0167
1401,1454,MS1 annotation,2,[M-H]- [M-H2O+FA]- dm/z=27.9948
1403,1432,MS1 annotation,2,[M-2H2O-2H+Na]- [M+Cl]- dm/z=50.0161
1596,1642,MS1 annotation,2,[2M-H]- [M+Cl]- dm/z=354.0086
1633,1696,MS1 annotation,2,[M+Cl]- [2M-2H+Na]- dm/z=354.0089
1733,1787,MS1 annotation,2,[M-H2O+FA]- [M+Cl]- dm/z=7.9818
1737,1837,MS1 annotation,2,[M+Cl]- [M+FA]- dm/z=10.0289
1771,1906,MS1 annotation,2,[M+Cl]- [M+FA]- dm/z=10.0288
1840,1986,MS1 annotation,2,[M+FA]- [M+Cl]- dm/z=10.0286
1840,1843,MS1 annotation,2,[M+Cl]- [M-2H2O-H]- dm/z=71.9993
1855,1983,MS1 annotation,2,[M+Cl]- [M+FA]- dm/z=10.0285
1864,1922,MS1 annotation,2,[M+Cl]- [M-H]- dm/z=35.9775
1870,1905,MS1 annotation,2,[M+Cl]- [M+FA]- dm/z=10.0288
1879,1931,MS1 annotation,2,[M+FA]- [M+Cl]- dm/z=10.0289
1882,1959,MS1 annotation,2,[M-H2O+FA]- [M-H]- dm/z=27.9954
1895,1934,MS1 annotation,3,[M+FA]- [M+Cl]- dm/z=10.0287
1928,1934,MS1 annotation,3,[M+FA]- [M-H]- dm/z=46.0057
1936,2015,MS1 annotation,3,[M-H]- [M+Cl]- dm/z=35.9767
1936,2046,MS1 annotation,3,[M+FA]- [M+Cl]- dm/z=10.0287
1951,1963,MS1 annotation,2,[M+Cl]- [M+FA]- dm/z=10.0287
1960,2014,MS1 annotation,2,[M-H]- [M+FA]- dm/z=46.0055
1974,2025,MS1 annotation,3,[M+FA]- [M+Cl]- dm/z=10.0287
