row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,A11.mzML Peak area,A16_2.mzML Peak area,A8_2.mzML Peak area,A11_2.mzML Peak area,A8.mzML Peak area,A7.mzML Peak area,A17.mzML Peak area,A17_2.mzML Peak area,A7_2.mzML Peak area,A14.mzML Peak area,A18.mzML Peak area,A14_2.mzML Peak area,A10.mzML Peak area,A18_2.mzML Peak area,A15.mzML Peak area,A15_2.mzML Peak area,A12.mzML Peak area,A12_2.mzML Peak area,A16.mzML Peak area,A10_2.mzML Peak area,A13_2.mzML Peak area,A13.mzML Peak area,pooled_QC_1.mzML Peak area,pooled_QC_2.mzML Peak area,A4.mzML Peak area,A2.mzML Peak area,A2_2.mzML Peak area,A4_2.mzML Peak area,A3.mzML Peak area,A1_2.mzML Peak area,A3_2.mzML Peak area,A1.mzML Peak area,A6.mzML Peak area,A6_2.mzML Peak area,A5_2.mzML Peak area,A9_2.mzML Peak area,A5.mzML Peak area,A9.mzML Peak area
7054,151.075446,3.131894,,,,281,,,,,,,4133.9385,2318.8145,2620.3794,3580.973,2545.596,1842.8207,2690.7856,4924.22,2362.3306,110402.56,3011.2273,108141.35,6266.874,5892.8315,131935.69,112467.29,11795.092,15605.068,6389.6143,19663.049,136503.72,122858.49,59739.633,47075.965,7023.674,48464.656,46096.383,7583.1465,17079.145,39869.113,19079.756,29623.21,21267.506,20796.848,15705.065,27549.6,22466.746,28589.477
5698,151.0754641,2.6389058,,,,1320,633,[M+NH4]+,,2,5697;5698,133.04119,2194.4065,2695.2554,2356.3557,3374.9395,1923.3743,2800.9075,4185.9717,4471.126,1660.2562,48763.996,7525.2783,35265.137,9365.864,8223.766,69221.89,74079.41,13098.77,17052.621,8159.6885,13391.045,42371.11,37715.254,25720.744,25496.979,3602.2207,87526.69,91270.98,0,31085.768,67520.08,23927.607,78899.87,11403.254,21828.445,0,13615.213,2726.6343,9978.834
27159,151.0965666,9.407542,,,,1797,,,,,,,8844.309,6128.9165,2457.9314,7899.4443,3078.427,6882.798,9043.827,10961.348,6743.4556,12057.229,19229.486,14244.877,44093.42,20489.676,10501.578,14893.4,34304.78,39287.86,27407.89,49609.926,17964.371,20351.438,57261.652,77492.78,24139.314,481030.16,522484.84,17598.19,95191.59,285599.78,96335.8,247423.9,21226.988,31639.86,66691.28,79404.516,78732.89,64775.484
46493,151.9799224,13.980274,,,,3,2599,[M+Na]+,,2,46442;46493,128.991,8840.789,7110.575,4374.2417,8442.59,5559.653,5381.5327,9408.461,7761.6206,2597.3943,8833.152,9363.324,11519.246,7716.9087,9948.562,7904.7207,9795.859,8598.54,10914.384,9595.308,10135.122,9737.06,7315.083,8203.266,10371.712,4094.6348,2411.88,2973.0027,3578.893,3553.6506,6620.4624,3807.1768,5862.15,6706.4443,4002.5015,2651.003,6145.8735,2706.6602,6798.9473
11034,152.0166014,4.3044877,,,,,,,,,,,5207.773,3281.2832,2663.42,4481.798,3196.8943,3310.8306,14225.154,14568.634,2247.9722,85871.08,13097.199,89486.3,55994.527,12229.621,19602.148,18708.479,110987.695,121971.5,11439.077,63199.99,17131.947,14062.433,64621.676,65090.496,41007.566,225852.78,231321.66,42330.754,29647.45,27192.22,28926.268,33713.934,18579.082,19257.865,227775.48,9481.982,277241.6,12455.531
2584,152.1070589,1.5883081,,,,,,,,,,,31948.27,6514.3867,15327.635,33895.98,17130.162,28430.805,36520.65,31920.84,29907.936,17406.088,17304.271,16003.554,46615.48,17530.842,18852.473,18711.412,43927.477,49139.82,19846.947,39740.543,41617.387,32219.154,37064.74,43425.203,55440.746,61032.68,60475.273,53954.52,60395.266,78935.36,69624.03,76469.06,42944.848,32233.387,37987.418,34868.332,45644.46,25794.197
25749,153.0484574,9.033582,,,,,,,,,,,326072.78,72641.02,486616.22,394569.94,501073,441711.72,525847.06,2871.588,375552.34,199464.38,394385.12,205525.22,315739.94,444781.3,254058.69,285685.06,280715.97,364178.44,491997.16,306618.9,265077.6,230781.86,274510.06,272209.1,256959.05,187559.31,163282.88,277955.47,209883.9,213827.19,200980.5,203381.94,255795.3,242062.64,168419.31,248049.25,244082.31,201210.28
46548,153.054531,14.075977,,,,766,,,,,,,29138.611,6798.1733,5706.206,14785.911,3446.5476,6751.7686,12476.002,8006.8374,8345.336,27274.215,61398.527,28932.83,30574.951,59241.945,28409.857,23859.44,19331.342,19551.236,28049.523,28767.756,24940.385,22138.035,17841.107,25475.209,6502.974,9028.794,10435.017,7448.835,7008.5693,12390.684,8637.189,11760.259,11098.358,10749.358,6683.1445,24309.16,5966.7393,13268.244
46649,153.0545431,15.540018,,,,,,,,,,,13732.358,5230.1675,3546.634,11465.008,4350.838,4282.498,0,6981.5435,6456.568,0,15681.333,26037.762,21097.004,17003.293,20545.896,0,40492.027,16314.924,10814.773,17700.896,23353.191,65740.266,12162.559,26608.332,5175.466,6962.6074,6012.2485,4538.666,5030.6807,7166.412,2399.072,13462.233,11913.021,6639.3936,5389.7617,3612.3604,4074.317,8079.6343
46600,153.0545828,15.459525,,,,1499,,,,,,,48384.1,9463.62,6518.9985,13383.458,4284.1484,7102.4634,40864.617,10524.246,5968.484,77215.25,98899.39,43064.79,0,18959.896,21049.664,56580.668,66005.57,57560.17,0,64582.395,22472.709,8324.874,37921.574,62902.035,1542.9152,10593.81,7290.5957,5139.342,6679.6323,11691.692,6317.26,11662.139,15134.721,9762.133,1350.255,20048.762,2136.0415,8479.143
46558,153.0546069,15.355607,,,,31,,,,,,,13032.763,5103.296,2846.2905,32264.006,528.02563,1733.2983,3327.157,6691.223,5087.0024,8553.429,23492.795,32059.006,99876.39,80990.14,84939.13,3730.2236,10205.962,23118.762,63314.09,39894.15,9018.061,13332.825,13311.439,18281.316,3005.1084,6213.8296,8930.928,6479.7554,2489.6553,6945.9604,2221.4487,2793.7036,2701.208,11510.266,1609.6432,9008.804,4278.71,32088.521
7323,153.0547049,3.2364357,,,,1636,,,,,,,6152.337,27321.156,1215.031,5938.889,550.8085,2339.2202,74833.29,66628.72,1000.24536,114561.23,155442.17,115908.2,160229.56,157354.42,111781.53,127128.34,164372.39,162056.66,177560.12,166007.75,101816.09,106311.94,154193.75,177675.38,16306.514,468913.88,498321.3,18959.125,309027.88,351479.5,337527.34,292826.75,102679.39,96198.41,89449.82,187571.38,97473.52,182455.02
4558,153.054723,2.169458,,,,,,,,,,,2276.151,1634.9578,2748.2676,6257.81,2424.1406,3579.0544,2392.8867,1612.4952,4337.671,15196.494,2404.962,10965.242,7818.7065,6256.434,20896.947,17590.547,8568.793,6403.1045,2290.1516,5482.3984,16357.027,8277.477,23477.957,23568.271,1725.9547,274699.38,260681.4,3038.893,57187.305,117572.6,62397.957,139004.39,15666.24,14770.164,6625.9253,9577.272,12715.129,7823.775
10580,153.054734,4.1782527,,,,2162,,,,,,,5070.973,2397.93,1234.7074,4217.0923,1866.676,2039.7184,4704.479,2922.425,1286.7583,25135.555,5632.8154,29822.062,50142.176,5044.084,8107.7305,14861.143,36297.24,37655.93,1490.0741,47129.914,13677.431,10453.765,15381.189,11585.718,0,15916.646,18476.355,0,7829.2817,20894.014,11043.275,21927.928,3413.225,10694.595,0,5191.3633,5897.407,7717.334
27141,153.06755,9.400366,,,,,,,,,,,1388.5093,340.49142,857.0016,963.35205,835.3346,0,634.2279,0,0,152720.67,1343.916,170284.28,494844.88,901.665,334250,334487.4,31730.463,30434.604,5368.167,499490.5,326801.3,333269.34,230334.77,210042.45,54704.3,461196.66,563529.06,50988.184,292852.8,219175.08,275031.62,188801.4,190299.06,187071.45,163347.7,260045.06,185148.38,259784.08
6619,153.0911116,2.9625664,,,,1848,683,[M+H]+,,1,6616,152.08387,2229.4907,2926.8154,2217.9546,3410.8281,1239.6444,3028.791,5971.6777,11229.575,2372.402,67983.46,10809.343,51053.117,22813.088,8186.131,73112,45837.6,31227.824,27834.484,8463.419,21513.275,40765.824,44290.105,17138.256,24012.133,986.92847,26308.166,24370.66,2821.6855,13487.163,33960.098,31307.236,32190.385,13085.579,12037.923,0,13985.437,5007.024,16286.6875
