row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,A18.mzML Peak area,A7.mzML Peak area,A8.mzML Peak area,A16.mzML Peak area,A10.mzML Peak area,A9.mzML Peak area,A11.mzML Peak area,A12.mzML Peak area,A6.mzML Peak area,A17.mzML Peak area,A15.mzML Peak area,A14.mzML Peak area,A4.mzML Peak area,A13.mzML Peak area,pooled_QC_1.mzML Peak area,A5.mzML Peak area,A3.mzML Peak area,A2.mzML Peak area,A1.mzML Peak area
1260,150.9792926,0.8337063,,,,1102,59,[M-H]-,,2,1627;1260,151.98677,0,346.98822,0,0,0,0,0,0,0,0,0,0,0,0,0,2225.557,0,8677.342,0
7355,151.0393603,2.641619,,,,33,,,,,,,2001.0869,1387.4672,0,1176.997,5280.861,117586.16,2636.4219,735.80914,34558.426,2548.8423,2905.091,3515.6553,421821.22,3411.7349,604418.1,670941,1100174.1,1245677.2,1260061.4
7011,151.0393723,2.5844362,,,,33,,,,,,,836.78406,1381.5779,0,1226.5476,5860.9707,2719.347,3123.7495,2126.978,19220.416,2806.5833,3757.6875,6168.1763,2419.3567,10051.845,39108.055,1779.5874,29561.672,271076.53,132425.16
5314,151.0393763,2.0780249,,,,93,103,[M-H]-,,2,5361;5314,152.04684,1469.6855,0,0,90.24985,2223.2979,1570.645,438.50906,735.4082,682.3858,662.21075,2945.1914,5778.458,6845.5757,4550.3096,11929.376,12345.232,45070.52,105232.12,54958.344
5625,151.0393785,2.1726065,,,,33,105,[M-H]-,,2,5637;5625,152.04684,551.50665,0,0,130.94481,1627.8569,2294.5688,674.6274,189.21799,958.60187,2007.6228,817.9427,2816.0635,7920.7056,457.47278,25518.719,20250.86,54368.06,168869.05,80192.22
18913,151.0393973,5.237049,,,,33,,,,,,,859.2223,0,0,143.16095,1413.7109,131.5674,950.4764,1408.3304,0,3214.9998,2113.6174,8022.5684,3179.8296,4460.617,15420.975,8119.6797,24691.3,23104.137,32190.922
12007,151.0393982,3.5605946,,,,33,,,,,,,496.6162,0,0,147.84135,1348.6727,3295.095,271.669,348.58865,835.1768,4721.059,633.00525,1233.8528,18518.965,2750.059,18337.121,34228.363,47850.29,31236.082,57115.63
14593,151.0394102,4.132067,,,,,,,,,,,524.23364,0,0,196.04169,13859.686,0,5519.198,9020.882,0,3032.433,1806.7133,1291.388,2096.0415,994.1752,16973.012,5766.809,13422.312,16966.307,28837.846
10049,151.0394116,3.213141,,,,33,,,,,,,3461.9792,0,0,2853.7305,6647.689,2133.316,142.77153,3099.747,89.26181,20570.34,3154.58,7848.6465,9009.024,9076.084,26638.168,34788.746,58476.234,89695.11,80221.23
13389,151.0394165,3.891992,,,,33,,,,,,,284.87512,0,0,218.88412,2334.8652,1578.6646,3126.6562,949.4087,209.40242,4590.496,2300.0334,7036.1104,9460.04,3195.1934,17891.879,23503.828,39768.55,42829.305,53385.027
19405,152.0346429,5.3811913,,,,33,,,,,,,3179.3948,0,0,1083.4805,6399.89,2682.2698,1169.5579,5737.1494,0,7740.7803,3376.7976,15873.934,12859.264,8992.754,22485.56,11798.418,13606.975,16556.219,21244.17
18403,152.0346443,5.0803237,,,,1018,,,,,,,1068.3484,0,0,464.86865,2615.9927,1343.7992,158.69731,1817.6934,0,4370.9727,2736.7195,13543.863,6882.33,10798.656,9044.586,7338.8296,4951.2246,3700.0586,8535.518
2148,152.9169139,0.9564925,,,,1102,83,[M-H]-,,2,2148;1978,153.92429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9478.802,0,26177.936,0
2695,152.9169216,1.0772412,,,,1102,89,[M-H]-,,2,2695;2643,153.92427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362.5593,0,47102.223,0
13,152.9778537,0.4887063,,,,0,1,[M-H]-,,2,13;10,153.98523,9751.582,2978.3093,4675.321,5314.6846,8944.996,5503.4023,11445.356,8071.3013,7762.911,8815.132,3642.895,8647.296,9138.336,9106.974,7779.5605,7886.0005,8437.839,2033.2466,8038.5312
4945,153.0186449,1.9114008,,,,,,,,,,,0,0,0,0,3575.869,0,1757.5238,1396.441,0,0,7376.253,10772.752,867.7403,51720.504,6579.5474,2662.3835,20890.873,34484.766,58891.133
15059,153.0186523,4.260012,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2562.71,113597.71,0,5404.841,25299.27,0,11672.146,5660.385,14420.787
8120,153.0186676,2.8480809,,,,33,,,,,,,0,0,0,0,263.677,0,147.96439,0,0,382.4599,4060.8252,10424.842,473.38867,4076.9824,13160.089,2740.621,36802.15,21689.266,77890.14
