filename,Na,Mg,Al,P,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Ag,Cd,Sb,Ba,Tl,Pb
NS1_1.mzML,4.82922568,4.594613811,3.122706497,2.292690774,5.01638284,-2.672571587,-2.529470744,0.569118915,3.050594456,-3.365718768,-0.719362136,1.584494875,2.868088457,-2.780785172,-0.249358507,-4.033548141,-4.726695321,-0.694226163,0.755608882,-4.726695321,-2.185093328
NS1_2.mzML,4.75520731,4.693429556,3.053851933,2.328545022,5.02350311,-2.496547036,-2.571448344,0.674177595,3.119173838,-3.179437717,-0.761339737,1.537602365,2.915329107,-2.822762773,-0.291336107,-4.075525741,-4.768672922,-1.394504213,0.777675712,-4.768672922,-1.748248036
NS1_3.mzML,4.819672899,4.722465744,2.546752387,3.134628762,4.831202992,-3.136423748,-2.714151521,0.054958937,2.85584556,-3.846665362,-0.904042913,4.234575074,2.784336416,-2.96546595,-0.434039284,-4.218228918,-4.911376099,-0.808732734,0.70938702,-4.911376099,-1.843323164
NS1_4.mzML,4.917857226,4.697464739,3.481234949,2.35703491,4.881594291,-2.208792151,-2.918468633,0.979906101,3.426972777,-3.074472882,-1.108360025,1.38108178,2.644731192,-3.169783061,-0.638356396,-4.42254603,-5.11569321,-1.656226921,0.983728478,-5.11569321,-0.323213926
NS1_5.mzML,4.679208742,4.734945093,4.817564652,3.623577351,4.523261522,-1.299818609,-3.744096147,2.030386383,4.382937539,-2.011457801,-1.933987539,0.600286309,1.977744515,-3.995410576,-1.46398391,-5.248173544,-4.580344172,-2.784320304,2.273009072,-5.941320725,-0.640007849
NS1_6.mzML,5.663503164,4.503183075,4.064873786,5.047971529,5.624075612,-1.95310321,-2.331612508,1.25448879,3.894109137,-1.518321016,-0.831087513,-0.875970729,-1.241010943,-3.507611461,-1.481279744,-4.597640006,-4.390000641,-2.167631882,1.403711402,-5.958616559,-0.602030284
NS4_1.mzML,4.568708461,4.704730681,3.678203939,2.66982229,4.578671015,-1.649379141,-3.092368846,1.683668658,4.284841301,-2.319178958,-1.282260238,1.134951399,2.550916314,-3.343683274,-0.812256609,-4.596446243,-4.596446243,-1.982706721,1.04776314,-6.16186727,-1.065683657
NS4_2.mzML,4.600430789,4.752129622,3.793779329,2.542747071,4.925777881,-1.697584237,-2.935825498,1.652879604,4.094756143,-2.289635301,-1.317255102,0.96066465,2.431778275,-3.378678138,-0.847251473,-4.631441107,-4.631441107,-1.83721321,1.011352096,-6.196862134,-1.003108153
NS5_1.mzML,5.052641268,5.359728376,2.750597787,2.020350186,5.662610753,-2.447215523,-2.522116831,1.673580226,1.819377119,-2.447215523,-0.712008223,1.813720421,3.327336023,-2.773431259,-0.242004594,-4.026194228,-4.719341408,-1.978501384,0.941185558,-5.591615255,-2.961483491
NS5_2.mzML,4.342375632,4.554445027,3.777506929,2.541430547,4.633320465,-2.519930083,-2.790805038,1.532444226,2.49605809,-2.438584444,0.395547596,2.150519874,3.132231954,-3.042119466,-0.5106928,-4.294882434,-4.988029615,-2.012500049,1.607614278,-5.860303461,-2.705647229
