filename,ATTRIBUTE_Sample_or_Blank,ATTRIBUTE_Sample_Type,ATTRIBUTE_Snow_Type,ATTRIBUTE_Sample_Month_Year_Collected,ATTRIBUTE_Day_Collected,ATTRIBUTE_Month_Collected,ATTRIBUTE_Year_Collected,Na_23,Mg_24,Al_27,P_31,K_39,V_51,Cr_52,Mn_55,Fe_56,Co_59,Ni_60,Cu_63,Zn_66,As_75,Se_78,Ag_107,Cd_114,Sb_121,Ba_138,Tl_205,Pb_208
ACl1_1.mzML,Sample,ACL,ACL,ACL_Feb_2023,27,Feb,2023,9.179905947,7.844002594,-0.702916716,5.458703225,7.259689955,-1.724184013,-1.572504165,-0.619406083,0.556734913,-3.614714538,-2.271716983,0.051667984,2.126752812,-0.772074183,-2.298624436,-6.08281407,-5.414984697,-2.44918309,3.765760487,-4.226516079,-4.493578865
ACl1_2.mzML,Sample,ACL,ACL,ACL_Feb_2023,27,Feb,2023,9.160766723,7.825281559,-0.728950776,5.417046373,7.254143369,-1.79872037,-2.846912815,-0.540312804,0.538451063,-3.657843032,-2.090664928,0.138033529,2.169605523,-0.83149907,-2.324658496,-5.441018757,-5.044137393,-2.336087192,3.756766201,-4.268298496,-4.350990212
ACl2_1.mzML,Sample,ACL,ACL,ACL_Jan_2023,6,Jan,2023,9.242496693,7.842922781,-0.722384039,5.816435683,7.418407948,-1.835457895,-2.741243187,-1.178273812,0.695877724,-3.737201322,-2.353348964,0.42829097,2.344939626,-0.685734412,-2.280289394,-6.064479028,-5.168391003,-2.625664782,3.849357291,-4.298037366,-3.948223513
ACl2_2.mzML,Sample,ACL,ACL,ACL_Jan_2023,6,Jan,2023,9.028183705,7.603563589,-0.116101509,5.584959493,7.180029969,-1.9671845,-2.836834654,-1.594523951,0.400415626,-4.01272449,-2.435597882,1.693993842,2.348595702,-0.917262911,-2.505802141,-6.341285069,-5.225281038,-2.968559361,3.630161136,-4.612895214,-1.935850343
ACl3_1.mzML,Sample,ACL,ACL,ACL_Oct_2022,18,Oct,2022,8.999748134,7.665515569,-0.559282649,3.361576776,7.211874131,-1.921896486,-2.348740621,0.06408959,1.283568482,-3.488174904,-2.462565981,0.209395126,2.243127693,-0.703004032,-2.154990368,-5.939180002,-5.063711265,-2.508423818,4.112313677,-4.469004157,-3.532234894
ACl3_2.mzML,Sample,ACL,ACL,ACL_Oct_2022,18,Oct,2022,9.006543965,7.690091086,0.374625116,3.407276847,7.271462606,-2.01639546,-2.524005647,0.026141525,1.287957554,-3.701056794,-2.408901424,0.180507004,2.251794147,-0.729841367,-2.178630258,-5.962819892,-5.320966006,-2.728070718,4.098965443,-4.50420487,-3.520472857
ACl3_3.mzML,Sample,ACL,ACL,ACL_Oct_2022,18,Oct,2022,9.095427308,7.803512571,-0.553456373,3.252360906,7.3863946,-1.922390773,-2.499366522,0.09311593,1.399701967,-3.661227841,-2.252002539,0.262682986,2.270114535,-0.744851226,-2.149164093,-5.933353726,-5.265524354,-2.747001093,4.110554247,-4.463177881,-3.482348628
BCl1_1.mzML,Sample,BCL,BCL,BCL_Feb_2023,27,Feb,2023,9.215530449,7.885338258,0.478935957,5.564959555,7.307802406,-1.731061903,-2.726888029,-0.659654401,0.938269038,-3.842121199,-2.365097984,0.200439897,2.300204505,-0.723528794,-2.249585097,-6.033774731,-5.628309623,-2.624278547,3.826379865,-4.7954005,-4.338159122
BCl1_2.mzML,Sample,BCL,BCL,BCL_Feb_2023,27,Feb,2023,9.168665375,7.866612126,-0.605754134,5.65783722,7.190159762,-1.571641807,-2.538843594,-0.569106739,0.769826356,-3.822328462,-2.554895303,0.211199889,2.396580719,-0.692095438,-2.201461853,-5.985651487,-5.317822115,-2.538843594,3.880832293,-4.515475642,-4.22779357
BCl2_1.mzML,Sample,BCL,BCL,BCL_Jan_2023,6,Jan,2023,9.203124849,7.865618397,-0.026585097,5.784289351,7.341519702,-1.755219472,-2.605823121,-1.247226712,0.701536506,-3.68638734,-2.337364373,0.192507574,2.306478664,-0.627565765,-2.229475411,-6.013665045,-5.345835673,-2.821133196,3.9300091,-4.532060504,-4.096742433
BCl2_2.mzML,Sample,BCL,BCL,BCL_Jan_2023,6,Jan,2023,4.724450688,3.184246748,1.065093706,2.822391744,6.542884515,-1.175366292,-1.881637021,-0.507637215,1.378946008,-3.296064516,-1.584423241,3.059863856,2.839418026,0.057266188,-1.731078367,-5.515268,-4.619179976,-2.388507465,4.419921687,-4.291492569,-3.103828503
