"","A1.mzML","A10.mzML","A11.mzML","A12.mzML","A13.mzML","A14.mzML","A15.mzML","A2.mzML","A3.mzML","A4.mzML","A5.mzML","A6.mzML","A7.mzML","A8.mzML","A9.mzML","pooled_QC_1.mzML"
"1260_150.979_0.834",88,88,88,88,88,88,88,8677.342,88,88,2225.557,88,346.98822,88,88,88
"7355_151.039_2.642",1260061.4,5280.861,2636.4219,735.80914,3411.7349,3515.6553,2905.091,1245677.2,1100174.1,421821.22,670941,34558.426,1387.4672,88,117586.16,604418.1
"7011_151.039_2.584",132425.16,5860.9707,3123.7495,2126.978,10051.845,6168.1763,3757.6875,271076.53,29561.672,2419.3567,1779.5874,19220.416,1381.5779,88,2719.347,39108.055
"5314_151.039_2.078",54958.344,2223.2979,438.50906,735.4082,4550.3096,5778.458,2945.1914,105232.12,45070.52,6845.5757,12345.232,682.3858,88,88,1570.645,11929.376
"5625_151.039_2.173",80192.22,1627.8569,674.6274,189.21799,457.47278,2816.0635,817.9427,168869.05,54368.06,7920.7056,20250.86,958.60187,88,88,2294.5688,25518.719
"18913_151.039_5.237",32190.922,1413.7109,950.4764,1408.3304,4460.617,8022.5684,2113.6174,23104.137,24691.3,3179.8296,8119.6797,88,88,88,131.5674,15420.975
"12007_151.039_3.561",57115.63,1348.6727,271.669,348.58865,2750.059,1233.8528,633.00525,31236.082,47850.29,18518.965,34228.363,835.1768,88,88,3295.095,18337.121
"14593_151.039_4.132",28837.846,13859.686,5519.198,9020.882,994.1752,1291.388,1806.7133,16966.307,13422.312,2096.0415,5766.809,88,88,88,88,16973.012
"13389_151.039_3.892",53385.027,2334.8652,3126.6562,949.4087,3195.1934,7036.1104,2300.0334,42829.305,39768.55,9460.04,23503.828,209.40242,88,88,1578.6646,17891.879
"2148_152.917_0.956",88,88,88,88,88,88,88,26177.936,88,88,9478.802,88,88,88,88,88
"2695_152.917_1.077",88,88,88,88,88,88,88,47102.223,88,88,1362.5593,88,88,88,88,88
"4945_153.019_1.911",58891.133,3575.869,1757.5238,1396.441,51720.504,10772.752,7376.253,34484.766,20890.873,867.7403,2662.3835,88,88,88,88,6579.5474
"15059_153.019_4.26",14420.787,88,88,88,5404.841,113597.71,2562.71,5660.385,11672.146,88,88,88,88,88,88,25299.27
"8120_153.019_2.848",77890.14,263.677,147.96439,88,4076.9824,10424.842,4060.8252,21689.266,36802.15,473.38867,2740.621,88,88,88,88,13160.089
"6054_153.019_2.332",25119.455,1051.3701,88,1075.878,3229.0005,2719.8762,468.728,25824.484,23825.764,1544.0289,5955.872,88,88,88,834.3309,9588.186
"10272_153.019_3.249",39344.543,1443.202,826.413,88,8191.604,4786.3477,5688.2837,16602.258,30264.514,88,395.84247,88,88,88,88,9972.788
"11400_153.03_3.453",499.74066,1671.5353,454.2509,8543.704,6212.1904,3911.014,2254.057,4669.4053,2704.8018,4639.931,1399.9581,88,88,88,88,5776.7485
"5346_153.055_2.081",182301.94,5582.3896,4022.9285,2507.912,5982.4507,5850.5645,2606.941,165533.08,193074.86,38417.324,103290.15,4205.9424,394.99835,88,12724.205,62563.316
"5641_153.055_2.195",479156.7,6019.2354,1739.8435,5622.151,5768.351,7553.1406,4434.467,451656.1,467099.03,101809.37,266360.16,8686.77,776.9766,88,31762.7,158527.72
"19160_153.128_5.301",74208.91,3562.1062,3165.688,2871.9739,10254.478,14756.897,2522.312,60034.938,53680.43,11046.594,22933.703,263.91223,4026.4202,852.43524,1839.2345,37616.355
"17046_155.071_4.712",26887.541,88,88,88,578.1576,88,88,14831.824,21164.77,914.71436,1484.1506,88,88,88,88,5859.537
"15849_155.107_4.414",49154.664,958.5414,1002.16174,88,5206.7363,15007.11,1871.3894,39090.22,26136.898,20228.197,48809.57,88,88,88,88,38263.9
"12186_155.107_3.636",14125.186,1943.7275,449.66162,1734.0657,4515.097,10359.729,460.02948,9594.573,4988.8057,14339.389,17464.879,88,3264.8262,191.56506,906.4674,13433.127
"20159_155.143_5.59",25206.467,88,88,88,8559.17,12270.604,88,1929.0807,5082.584,1991.8629,1516.8634,88,1106.3058,88,88,11472.92
"10339_157.05_3.312",849.03723,88,88,4087.5515,88,88,88,521.5559,458.1929,10168.498,25586.908,88,88,88,88,10621.195
"19200_157.086_5.321",66611.14,88,88,88,417.86108,1478.8562,88,43791.008,54166.156,583.5315,2796.8027,88,88,88,88,19272.143
"7726_157.086_2.795",10559.1455,456.49274,127.14461,190.97557,20642.139,20208.39,2020.3229,10849.867,11975.588,498.40216,1310.8905,88,88,88,88,13258.015
"11464_157.086_3.478",126516.27,3349.95,88,549.0949,6463.301,6721.366,553.13763,150068.67,136391.02,1925.0717,13222.641,88,88,88,88,62664.367
"6538_157.086_2.45",8561.672,88,88,88,8572.796,7219.5874,798.0446,4892.0703,7633.715,88,2347.461,88,88,88,88,4744.1133
"120_158.978_0.702",183268.8,12389.438,15630.625,49746.6,31451.508,32114.693,13240.824,98977.09,108247.51,93939.26,153750.44,46246.355,25760.63,17223.207,10977.746,89793.64
"24398_159.045_6.957",88,88,88,88,8496.009,27887.297,6997.5503,88,88,88,88,88,88,88,88,17628.637
"20942_159.045_5.872",926.54663,1547.7468,3759.6792,1791.6943,105643.71,184536.4,79381.24,2641.6702,7611.6396,88,88,88,88,88,88,72336.03
"6673_159.066_2.501",353874.28,21996.258,17953.422,19625.586,76569.21,88038.195,16201.327,303803.66,237960.52,29907.902,47719.883,1405.6241,28951.658,6510.2554,11463.477,168545.58
"7424_159.066_2.69",26811.09,2807.1475,1567.2816,4368.3647,22388.822,28457.07,4920.799,17975.719,16745.557,10251.158,7765.855,88,6997.8623,1190.768,1177.8046,16295.451
"8788_159.066_2.982",18095.023,2863.1475,1633.087,2346.7754,24953.36,28122.541,3800.7163,18648.65,12867.48,7488.001,13103.543,88,3688.818,856.57043,1274.6821,22726.158
"8408_159.066_2.936",8729.221,1999.4971,818.0506,1839.4583,17221.93,14507.095,5935.058,12291.682,4824.7817,3965.982,8200.436,88,2636.4463,691.16864,1111.6627,14859.336
"9679_159.066_3.152",27026.396,1323.4987,798.90753,1074.2065,8030.151,10444.817,1456.4149,19646.58,16440.79,5703.2754,11599.086,88,1447.7196,88,375.65463,16527.893
"12790_159.102_3.752",99111.55,1281.8386,1654.4414,1973.936,4879.649,7707.9785,1529.6816,76950.94,42922.734,21454.457,52467.64,88,2192.8643,397.55435,266.06497,30521.35
"15605_159.102_4.354",130751.48,10555.907,3966.7996,6239.931,15042.658,18919.92,2870.3267,107397.18,108445.35,14729.654,40222.168,113.25267,2463.288,858.00867,3160.1892,62783.188
"10369_159.102_3.27",92447.5,2156.7966,994.29987,1473.9408,4176.2363,8455.009,595.01544,203551.23,138226,4067.2288,7849.3496,88,370.57266,88,459.80383,43251.47
"27472_161.021_7.79",88,88,88,88,88,88,88,88,88,13256.741,40508.26,88,88,88,88,5452.907
"6425_161.045_2.451",8691.121,88,88,88,88,88,88,9563.587,668.4026,88,88,88,88,88,88,847.9598
"14152_161.06_4.027",9832.305,88,531.2838,88,2644.804,1269.2943,1073.1445,5759.121,4193.0527,976.3298,3468.739,88,88,88,88,3219.8264
"11394_161.06_3.455",14985.687,88,88,88,12472.086,8851.604,1663.6499,18694.066,20563.557,2265.7737,7525.655,88,102.239365,88,88,9204.668
"20672_161.097_5.787",8815.871,88,88,88,19579.443,12974.145,2219.4453,7524.199,7486.7495,968.94653,5729.047,88,88,88,88,14563.068
"18663_162.492_5.158",88,88,88,88,88,88,88,648.6942,88,23176.107,15312.237,88,88,88,88,15201.358
"18039_162.492_4.949",88,88,88,88,88,88,88,88,88,714.19574,73474.13,88,88,88,88,88
"5132_163.039_1.999",61373.41,88,88,88,22112.152,10393.294,8435.763,232076.73,8605.249,88,88,88,88,88,88,23280.777
"6106_163.04_2.351",29277.82,88,88,88,7227.998,5667.7017,4140.62,51157.043,8844.063,1025.4832,2041.6415,88,88,88,88,10835.492
"12192_163.04_3.636",25661.43,1957.2208,1040.0042,1818.5281,7342.592,10377.034,1737.1611,18731.25,35291.8,14915.239,30769.719,88,3712.01,1045.2661,2718.1672,19923.29
"10634_163.04_3.322",165237.02,2111.0618,647.29974,749.0871,26959.97,35749.754,28625.373,439973.47,442861.84,2313.779,4829.5728,88,88,88,4780.8735,109638.23
"11076_163.04_3.378",39912.734,2277.1104,647.29974,749.0871,11222.388,25864.357,5884.26,65156.58,85236.984,1772.0863,1312.4039,88,88,88,4519.752,27067.191
"7674_163.04_2.766",33682.402,181.28201,88,419.4447,19763.906,18772.28,1669.5692,55103.168,23187.346,4277.5884,11746.365,88,346.81543,88,304.33124,15283.269
"18860_163.076_5.205",25032.98,88,88,88,3105.2769,1791.2383,88,35493.758,20504.023,1517.6031,4093.2737,88,88,88,88,9066.024
"18341_163.076_5.069",37271.492,789.0421,416.1625,760.6621,34893.336,26556.062,1983.4338,32860.055,27429.83,4475.961,6820.499,88,585.752,88,88,25057.922
"7327_165.019_2.661",4831170,10763.11,5931.9326,10109.621,48746.234,73774.5,11522.486,4170689,4444636.5,1338489,3034151.5,120899.02,7744.7173,2285.1228,457503.34,2356441
"19103_165.019_5.267",5047.2256,88,88,88,359.78003,951.5487,88,2764.565,6160.7617,8119.686,7805.424,88,3595.0935,689.46466,1162.9314,5338.206
"7638_165.019_2.748",541175.2,6140.8594,3894.313,6511.1235,50911.984,62712.33,11605.979,332630.2,88,640495.8,1132153.4,21837.207,17731.145,1745.0242,88,306491.34
"11884_165.019_3.564",183956.25,7638.0464,4804.412,1979.1732,44101.652,27574.775,3991.9695,209755.17,145612.5,39858.58,83286.69,803.9013,2808.888,88,2963.311,61077.57
"8981_165.019_2.996",146447.61,1288.6934,936.3943,1318.8271,21713.729,15290.756,2270.073,135359,52049.906,116206.29,128271.3,4688.945,3897.995,155.85231,10828.626,47693.863
"38926_165.04_10.526",88,88,4211.0376,88,88,722.703,88,88,88,896.21704,79941.484,2860.2866,1918.4485,235162.84,15083.227,88
"5488_165.055_2.146",16229.945,88,88,88,1517.7823,833.7389,1012.03845,54514.8,9064.073,266.93213,3207.052,88,88,88,88,7348.8687
"6262_165.055_2.396",14265.555,88,88,88,3613.7668,4353.2744,4993.217,22821.357,19198.266,88,3642.0706,88,88,88,88,6921.1006
"10260_165.055_3.241",35015.688,2793.811,2344.0225,1369.8256,15303.939,21936.414,2525.0317,40132.203,32210.398,9425.587,15142.316,88,88,88,883.1412,25595.572
"17961_166.017_4.962",3495.264,88,88,88,88,88,88,7894.413,7966.9404,42125.6,88753.52,778.4672,88,88,710.8316,16525.965
"15353_166.087_4.297",88,88,88,88,88,88,88,88,88,61997.703,169303.66,88,88,88,88,19519.035
"4472_167.034_1.675",6865.4927,88,88,88,2040.5857,1453.0111,2051.3818,17166.646,4200.2725,88,88,88,88,88,88,88
"6827_167.034_2.538",58392.52,1671.477,1039.5452,679.2639,5578.6895,2957.034,1817.711,33622.02,30399.752,4062.0527,9020.053,88,88,88,986.67346,14411.446
"5464_167.034_2.132",18478.258,88,88,88,1612.8375,1245.1903,88,27201.268,16859.57,4782.5605,9103.571,88,88,88,164.7084,2756.6787
"10867_167.071_3.377",20495.44,88,88,88,3638.5781,4455.3667,1367.0282,24701.088,3796.6138,914.51636,6130.048,88,88,88,88,10031.514
"19327_167.144_5.373",1042.368,88,88,88,88,88,88,747.5515,390.60562,12433.112,37549.066,88,88,88,88,7714.5786
"25546_167.144_7.296",16091.984,88,88,88,1506.7252,2249.9736,369.80347,13461.918,8616.663,3165.1814,15674.194,88,88,88,585.33545,11763.546
"5107_169.014_1.995",4598.633,88,88,88,604.8459,3124.3286,6599.768,3706.1484,3309.8574,88,88,88,88,88,88,6724.0127
"11406_169.087_3.476",22240.879,1601.4391,88,1491.4586,8330.835,6157.2793,192.49582,14647.91,18302.521,18578.691,46583.21,88,88,88,88,19326.582
"20483_169.087_5.725",590852.8,3155.7593,274.27893,759.6865,4107.85,6466.6035,902.4023,450876.03,583888.25,7010.079,15399.468,1507.0403,581.6165,88,463.2887,149585.56
"9845_169.087_3.179",50278.734,2597.567,88,2257.8394,11045.863,14336.195,2132.3525,14741.149,10032.4,18646.072,51474.562,88,88,88,524.56354,21233.459
"14356_169.087_4.091",114898.86,3268.8857,1742.53,2070.5603,8320.842,11337.27,1724.5698,92472.836,95116.93,12866.036,21031.584,88,2213.8613,108.08765,1301.0178,37044.87
"18321_169.123_5.059",60147.09,1540.6705,88,211.97597,8804.555,9357.828,667.6206,60207.676,52564.758,9536.467,8421.42,88,175.11525,88,88,22884.797
"7137_170.009_2.612",19972.088,255.80333,88,88,35955.164,28727.227,4240.5625,14394.132,10926.145,2135.3318,8128.5845,88,88,88,88,23457.102
"6837_171.066_2.54",38578.004,10402.766,3521.2222,6099.766,33725.484,31745.36,6244.11,25672.53,16355.305,10228.2295,18351.443,88,5868.3403,1010.2893,2032.3456,44046.25
"19607_171.066_5.463",541.2484,88,88,88,372.52753,19597.588,1717.4271,88,88,407.54794,88,88,88,88,88,5370.62
"6163_171.066_2.36",68308.32,18252.998,7988.2954,14830.412,68855.8,59420.547,12349.656,36986.727,36388.812,16298.365,15054.977,88,4329.2896,1307.3761,1745.558,72574.12
"9268_171.066_3.077",34486.195,7163.008,4143.8823,7363.5146,32668.846,36435.12,11791.208,26600.502,13887.479,14575.61,20622.6,117.848724,3118.2896,92.954704,536.5356,48261.855
"21799_171.102_6.118",83354.12,1203.9943,88,88,2219.1226,3768.2588,88,54865.832,119739.125,1853.3538,1741.5853,88,88,88,88,29204.504
"22113_171.102_6.225",116075.54,907.84546,88,88,2415.4348,3078.9546,88,57810.336,69994.234,2668.9775,2977.9429,88,88,88,88,33553.94
"11849_171.102_3.551",34458.4,381.45117,567.7448,88,6184.183,9527.535,227.81471,67591.5,58654.54,11139.55,19007.63,88,1230.971,88,88,12832.825
"17007_171.102_4.665",117703.23,2512.1816,253.99237,2314.4377,12375.183,13166.02,1145.0494,112537.09,64457.54,1934.3015,8368.949,88,1575.2404,88,548.4902,22083.438
"15474_171.102_4.321",743757.8,22130.46,10748.096,16263.3,51783.926,79137.016,15606.123,880676.94,1260326,28010.18,81988.17,9773.32,10640.495,8680.207,12867.671,337949.7
"12886_171.102_3.779",39074.11,1423.7178,490.94122,773.2788,13098.564,7005.0366,1340.6862,43586.008,34004.617,3895.5137,11165.681,88,745.91614,88,88,20811.336
"24232_171.138_6.908",67643.67,88,88,88,5949.667,7904.8433,88,43192.016,37285.84,418.24786,4055.1685,88,88,88,88,19909.762
"10334_172.097_3.256",2091.4182,8613.707,7196.5137,3467.9504,88,88,88,1457.1827,1957.0762,88,88,88,88,88,88,5424.489
"32701_173.009_9.007",58995.145,234.87488,161.91534,680.7792,928.12177,2197.0237,1059.7906,54164.816,59515.41,12375.474,90324.42,389.0639,88,88,1775.3954,28962.07
"10059_173.081_3.212",1787018.9,92622.414,91365.516,70657.25,205171.06,250576.27,33216.074,1848449.8,1325790.2,133331.38,234836.98,13055.966,82962.45,27180.504,29799.19,676135.44
"12140_173.081_3.621",62252.02,4597.0024,3441.977,3729.4336,15046.017,14625.56,2392.763,37669.13,36131.492,34517.195,63192.062,1786.4087,5861.988,1596.5693,2887.2695,46816.766
"9097_173.081_3.053",88700.234,5337.986,4284.5947,4955.9067,38141.77,36660.715,9575.996,115550.93,87651.94,8155.2007,18141.455,3400.2222,4876.6826,3703.9712,3383.6401,46000.973
"14205_173.081_4.055",58293.906,2617.4238,1717.0348,2295.5269,18750.031,14706.679,2483.82,39051.953,34334.254,17430.846,24318.31,702.0742,5218.969,810.5283,1976.204,31228.688
"18112_173.118_4.964",12840.274,88,88,88,1385.3586,1413.0037,88,4063.0205,7785.834,2099.979,4878.8823,88,88,88,88,4335.23
"20703_173.118_5.796",564019.94,26568.143,24430.598,31051.246,67995.664,81323.83,18390.328,498542.1,364806.5,105977.44,277774.53,6465.325,25220.477,8465.636,15579.44,322466.12
"16919_173.118_4.678",293568.34,2990.5022,5652.8726,4223.4746,17866.068,24793.424,6767.1904,156849.03,101102.96,97101.04,220013.6,88,10909.816,3187.081,1712.6985,90463.88
"19278_173.118_5.264",121937.43,6183.692,4059.3235,6150.3853,18271.03,20349.38,2740.5205,79511.984,73759.33,14380.533,36098.43,694.68176,3403.0933,2304.6,2837.6018,49015.53
"14086_173.118_4.027",101709.01,4921.914,2142.0107,3848.082,10227.229,18424.123,2234.183,117775.93,105215.77,7969.993,14032.968,88,1878.2148,228.96378,1760.9387,38053.047
"2642_174.956_1.088",88,589.4237,3652.192,88,88,88,1112.5839,469761.7,88,22809.492,27050.807,8032.752,48829.434,29800.014,88,88
"18514_175.04_5.108",21727.55,129.35854,1274.5284,88,13668.98,9326.77,88,12390.182,40021.047,1095.4321,5518.1987,88,88,88,88,13090.836
"9969_175.076_3.204",131013.266,88,88,88,1401.7943,1596.3197,88,119578.445,101855.16,30146.434,80027.52,693.9104,88,88,3897.6006,40158.25
"15838_175.076_4.482",46845.188,88,88,88,2059.7942,1615.9714,88,35014.676,37819.008,15748.273,27605.414,88,88,88,1903.6375,20448.512
"10501_175.097_3.299",161283.44,9978.1455,2129.6257,1999.1489,7366.952,10041.877,1753.2086,173788.27,137344.27,4330.961,7364.528,88,1145.5854,88,630.8204,54856.02
"23795_175.112_6.752",4841.503,88,88,88,88,88,88,1894.5743,823.2336,88,650.2449,88,88,88,88,448.8189
"1905_176.9_0.898",336.53394,88,88,88,88,88,88,5433.6665,278.24808,88,2340.2153,88,88,88,88,88
"21201_177.001_5.972",45157.35,88,88,88,2542.0337,2497.9797,88,25957.633,87795.27,88,88,88,88,88,88,10510.603
"14541_177.012_4.142",88,88,88,88,88,88,88,88,493.3764,18119.541,65448.035,155.9393,88,88,88,1987.9756
"6671_177.019_2.509",88189.5,3601.3284,17821.375,2614.3562,11260.626,12266.592,7224.804,42851.164,49063.03,2122.9753,3559.73,199.93633,1632.0964,773.22076,2974.0774,18173.164
"7242_177.019_2.634",18008.066,6466.2773,9227.385,2133.5393,16165.303,15153.822,14085.366,11903.703,24672.633,1475.0326,816.0432,147.09402,1338.3477,608.17865,626.7152,9365.706
"9819_177.019_3.219",208265.52,11872.4,9369.481,3066.9216,38872.79,41228.38,8298.869,97689.36,170807.73,3014.3755,4193.995,101.44943,724.4765,93.49159,481.37347,53124.316
"13374_177.019_3.875",160533.89,4304.447,2551.2524,3165.082,25496.846,28852.666,11389.112,80354.36,164625.44,1133.52,1081.4043,88,2282.3125,282.43884,1928.7122,42686.535
"13909_177.055_3.983",39438.953,645.4803,213.51775,203.79962,4297.0615,5108.553,1680.7769,68747.36,24777.863,1151.4631,2221.5044,88,88,88,88,11741.104
"21489_177.092_6.041",38602.676,1690.5251,2631.3154,2065.4507,4921.6953,6034.163,728.0137,60627.633,30992.184,6905.412,18365.082,88,866.44946,88,422.8436,20374.068
"5306_177.092_2.085",17244.633,88,88,88,88,88,88,17249.822,19452.615,3530.9707,11210.459,88,88,88,88,4522.3906
"10436_177.092_3.296",34130.02,440.996,364.62396,585.4617,34774.574,29361.908,5524.0815,26980.182,32620.943,11572.603,21656.795,88,1089.2683,88,618.754,20707.281
"22740_178.998_6.429",79110.08,4815.03,4905.4263,2189.847,52429.13,59319.336,11751.411,12916.163,294566.78,88,88,88,88,88,88,78149.84
"5094_179.034_1.986",21179.814,88,88,88,819.73535,621.05457,88,41916.734,4660.823,88,88,88,88,88,88,3359.222
"11751_179.035_3.53",237251.2,5506.3013,4204.7812,4136.627,83371.61,88162.414,8805.666,250721.77,164581.02,21250.377,49245.453,88,6571.1436,798.38104,2647.2375,92976.91
"15804_179.035_4.402",12453.37,1180.7335,196.7096,1445.8438,6689.0933,18167.281,3799.0068,8578.738,7943.892,18580.791,29542.629,88,4179.3438,954.78754,4722.7095,17059.193
"13047_179.035_3.809",84631.45,3991.0479,4115.133,1845.3916,42788.4,41889.28,9409.493,76911.195,64677.78,11208.795,20107.445,88,3635.2761,88,2052.1355,39997.49
"7021_179.056_2.589",123507.25,88,88,88,471.90497,770.3496,88,91016.71,33220.586,88,88,88,88,88,88,18510.986
"11941_179.071_3.598",9660.011,1286.8585,88,815.0753,16943.299,17424.004,4751.6646,1888.2805,5429.6104,2942.333,3682.8599,88,88,88,88,13840.721
"23780_179.071_6.753",28176.012,88,88,88,22449.986,20241.518,2811.2915,23203.83,17968.945,1786.0631,4856.697,88,88,88,413.3246,20837.451
"10750_179.071_3.342",55848.652,88,88,137.46426,11006.242,13821.793,7189.069,73963.664,17113.186,8910.962,18740.314,88,88,88,371.25787,25240.738
