filename,Sample_name,Sample_Type
2019_1_21_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_28_IB_DOM_2.mzXML,IB_DOM,Sample
2019_1_20_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_16_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_28_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_08_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_07_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_08_IB_DOM_1.mzXML,IB_DOM,Sample
2019_5_17_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_18_IB_DOM_1.mzXML,IB_DOM,Sample
2019_1_23_IB_DOM_2.mzXML,IB_DOM,Sample
2019_1_22_IB_DOM_2.mzXML,IB_DOM,Sample
2019_1_20_IB_DOM_2.mzXML,IB_DOM,Sample
2019_3_01_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_17_IB_DOM_2.mzXML,IB_DOM,Sample
2019_1_23_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_18_IB_DOM_2.mzXML,IB_DOM,Sample
2019_1_19_IB_DOM_1.mzXML,IB_DOM,Sample
2019_3_03_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_17_IB_DOM_1.mzXML,IB_DOM,Sample
2019_1_22_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_22_IB_DOM_2.mzXML,IB_DOM,Sample
2019_1_19_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_19_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_22_IB_DOM_1.mzXML,IB_DOM,Sample
2019_1_21_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_07_IB_DOM_1.mzXML,IB_DOM,Sample
2019_5_18_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_16_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_06_IB_DOM_1.mzXML,IB_DOM,Sample
2019_3_03_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_21_IB_DOM_2.mzXML,IB_DOM,Sample
2019_3_04_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_06_IB_DOM_2.mzXML,IB_DOM,Sample
2019_1_21_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_1_22_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_3_01_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_21_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_20_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_20_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_23_IB_DOM_2.mzXML,IB_DOM,Sample
2019_5_18_IB_DOM_2.mzXML,IB_DOM,Sample
2019_3_04_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_07_SIO_DOM_1.mzXML,IB_DOM,Sample
2019_2_23_IB_DOM_1.mzXML,IB_DOM,Sample
2019_5_19_IB_DOM_1.mzXML,IB_DOM,Sample
2019_5_20_IB_DOM_2.mzXML,IB_DOM,Sample
2019_5_20_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_17_SIO_DOM_2.mzXML,IB_DOM,Sample
2019_2_19_IB_DOM_2.mzXML,IB_DOM,Sample
2019_5_19_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_07_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_19_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_3_03_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_3_02_IB_DOM_2.mzXML,IB_DOM,Sample
2019_2_18_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_06_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_1_21_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_3_04_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_21_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_06_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_20_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_3_02_IB_DOM_1.mzXML,IB_DOM,Sample
2019_2_08_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_1_19_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_5_20_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_20_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_21_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_17_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_08_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_23_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_19_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_3_02_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_3_03_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_16_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_3_01_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_3_02_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_22_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_5_19_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_22_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_5_16_IB_DOM_1.mzXML,IB_DOM,Sample
2019_3_04_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_5_17_IB_DOM_1.mzXML,IB_DOM,Sample
2019_1_23_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_23_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_16_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_1_22_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_5_19_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_5_20_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_28_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_19_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_1_23_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_1_19_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_18_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_3_01_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_5_18_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_08_TJ_DOM_1.mzXML,TJ_DOM,Sample
2019_2_06_TJ_DOM_1.mzXML,TJ_DOM,Sample
2019_2_07_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_2_28_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_1_20_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_06_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_5_17_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_5_16_IB_DOM_2.mzXML,IB_DOM,Sample
2019_1_20_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_06_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_5_16_SIO_DOM_1.mzXML,SIO_DOM,Sample
2019_2_08_TJ_DOM_2.mzXML,TJ_DOM,Sample
2019_5_18_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_07_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_2_16_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_2_18_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_5_16_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_2_20_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_2_08_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_2_06_TJ_DOM_2.mzXML,TJ_DOM,Sample
2019_2_18_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_2_17_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_5_17_SIO_DOM_2.mzXML,SIO_DOM,Sample
2019_3_04_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_2_21_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_2_16_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_02_17_BF_filter.mzXML,BF_Filter,Sample
2019_2_17_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_2_22_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_02_21_BF_filter.mzXML,BF_Filter,Sample
2019_2_08_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_2_19_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_02_18_BF_filter.mzXML,BF_Filter,Sample
2019_3_04_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_02_08_LG_filter.mzXML,LG_Filter,Sample
2019_2_20_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_03_03_BF_filter.mzXML,BF_Filter,Sample
2019_2_21_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_02_22_BF_filter.mzXML,BF_Filter,Sample
2019_5_16_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_03_02_BF_filter.mzXML,BF_Filter,Sample
2019_05_20_SIO_filter.mzXML,SIO_Filter,Sample
2019_02_23_BF_filter.mzXML,BF_Filter,Sample
2019_03_04_BF_filter.mzXML,BF_Filter,Sample
2019_5_19_Holl_DOM_1.mzXML,Holl_DOM,Sample
2019_05_17_SIO_filter.mzXML,SIO_Filter,Sample
2019_05_19_SIO_filter.mzXML,SIO_Filter,Sample
2019_5_16_Holl_DOM_2.mzXML,Holl_DOM,Sample
2019_5_18_Holl_DOM_1.mzXML,Holl_DOM,Sample
QC_2.mzXML,QC,QC
2019_03_01_BF_filter.mzXML,BF_Filter,Sample
QC_4.mzXML,QC,QC
QC_6.mzXML,QC,QC
QC_1.mzXML,QC,QC
2019_3_01_Holl_DOM_2.mzXML,Holl_DOM,Sample
QC_3.mzXML,QC,QC
QC_int_1.mzXML,QC,QC
QC_7.mzXML,QC,QC
QC_5.mzXML,QC,QC
QC_9.mzXML,QC,QC
QC_8.mzXML,QC,QC
2019_2_28_Holl_DOM_2.mzXML,Holl_DOM,Sample
QC_int_2.mzXML,QC,QC
QC_int_3.mzXML,QC,QC
QC_restart.mzXML,QC,QC
QC_int_4.mzXML,QC,QC
2019_2_22_Holl_DOM_1.mzXML,Holl_DOM,Sample
QC_out.mzXML,QC,QC
2019_3_02_Holl_DOM_2.mzXML,Holl_DOM,Sample
filterblank_1.mzXML,Filter_Blank,Blank
2019_03_04_BF_filterblank.mzXML,Filter_Blank,Blank
2019_02_28_BF_filterblank.mzXML,Filter_Blank,Blank
