Replicate,Sample,Molecule,Total_Area,Sample_Type
0_point_1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Carbamazepine,92876,0.1
0_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Carbamazepine,474912,0.5
1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Carbamazepine,1038152,1
2_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Carbamazepine,2112690,2.5
5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Carbamazepine,5125556,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Carbamazepine,6874080,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3,Unknown,Carbamazepine,4410307,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3_20240613063722,Unknown,Carbamazepine,6134003,5
10ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Carbamazepine,12247791,10
10ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Carbamazepine,2398285,10
0_point_1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fexofenadine,4802,0.1
0_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fexofenadine,37506,0.5
1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fexofenadine,90821,1
2_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fexofenadine,193073,2.5
5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fexofenadine,407947,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Fexofenadine,589641,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3,Unknown,Fexofenadine,292061,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3_20240613063722,Unknown,Fexofenadine,491238,5
10ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Fexofenadine,1072084,10
10ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Fexofenadine,494019,10
0_point_1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Flecainide,32701,0.1
0_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Flecainide,201741,0.5
1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Flecainide,390410,1
2_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Flecainide,833704,2.5
5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Flecainide,2563052,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Flecainide,2601268,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3,Unknown,Flecainide,2217638,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_3_20240613063722,Unknown,Flecainide,2619696,5
10ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Flecainide,5561389,10
10ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Flecainide,7018209,10
0_point_1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Lamotrigine,#N/A,0.1
0_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Lamotrigine,#N/A,0.5
1ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Lamotrigine,8707,1
2_point_5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Lamotrigine,17008,2.5
5ppb_cal_pharmaceutical_mix_100ppb_IS,Unknown,Lamotrigine,42963,5
5ppb_cal_pharmaceutical_mix_100ppb_IS_2,Unknown,Lamotrigine,72189,5
