Replicate,Sample,Molecule,Total_Area,Sample_Type
0_point_1,Unknown,Carbamazepine,70523,0.1
0_point_5,Unknown,Carbamazepine,378148,0.5
1,Unknown,Carbamazepine,800617,1
2_point_5,Unknown,Carbamazepine,2161422,2.5
5,Unknown,Carbamazepine,5026920,5
10,Unknown,Carbamazepine,9187826,10
0_point_1,Unknown,Fexofenadine,12308,0.1
0_point_5,Unknown,Fexofenadine,35477,0.5
1,Unknown,Fexofenadine,151184,1
2_point_5,Unknown,Fexofenadine,311973,2.5
5,Unknown,Fexofenadine,687168,5
10,Unknown,Fexofenadine,1040244,10
0_point_1,Unknown,Flecainide,62700,0.1
0_point_5,Unknown,Flecainide,267654,0.5
1,Unknown,Flecainide,575241,1
2_point_5,Unknown,Flecainide,1050193,2.5
5,Unknown,Flecainide,2811835,5
10,Unknown,Flecainide,6419748,10
0_point_1,Unknown,Lamotrigine,#N/A,0.1
0_point_5,Unknown,Lamotrigine,9403,0.5
1,Unknown,Lamotrigine,19554,1
2_point_5,Unknown,Lamotrigine,29342,2.5
5,Unknown,Lamotrigine,100476,5
10,Unknown,Lamotrigine,178075,10
0_point_1,Unknown,Fluconazole,13969,0.1
0_point_5,Unknown,Fluconazole,57276,0.5
1,Unknown,Fluconazole,126343,1
2_point_5,Unknown,Fluconazole,138849,2.5
5,Unknown,Fluconazole,611438,5
10,Unknown,Fluconazole,843907,10
0_point_1,Unknown,Sulfamethizole-d4,4090403,0.1
0_point_5,Unknown,Sulfamethizole-d4,3804429,0.5
1,Unknown,Sulfamethizole-d4,4017365,1
2_point_5,Unknown,Sulfamethizole-d4,4740528,2.5
5,Unknown,Sulfamethizole-d4,4182036,5
10,Unknown,Sulfamethizole-d4,4606152,10
