Replicate,Sample,Molecule,Total_Area,Sample_Type
0_point_1ppb_cal_100ppb,Unknown,Carbamazepine,3385865,0.1
0_point_5ppb_cal_100_ppb_IS,Unknown,Carbamazepine,6196759,0.5
1ppb_cal_100ppb,Unknown,Carbamazepine,16678710,1
2_point_5ppb_cal_100_ppb_IS,Unknown,Carbamazepine,2951230,2.5
5ppb_cal_100ppb,Unknown,Carbamazepine,7092639,5
10ppb_cal_100_ppb_IS,Unknown,Carbamazepine,14564722,10
0_point_1ppb_cal_100ppb,Unknown,Fexofenadine,76706,0.1
0_point_5ppb_cal_100_ppb_IS,Unknown,Fexofenadine,609211,0.5
1ppb_cal_100ppb,Unknown,Fexofenadine,1374224,1
2_point_5ppb_cal_100_ppb_IS,Unknown,Fexofenadine,220862,2.5
5ppb_cal_100ppb,Unknown,Fexofenadine,657902,5
10ppb_cal_100_ppb_IS,Unknown,Fexofenadine,1354184,10
0_point_1ppb_cal_100ppb,Unknown,Flecainide,708238,0.1
0_point_5ppb_cal_100_ppb_IS,Unknown,Flecainide,4084132,0.5
1ppb_cal_100ppb,Unknown,Flecainide,6656563,1
2_point_5ppb_cal_100_ppb_IS,Unknown,Flecainide,1724429,2.5
5ppb_cal_100ppb,Unknown,Flecainide,4171825,5
10ppb_cal_100_ppb_IS,Unknown,Flecainide,10328522,10
0_point_1ppb_cal_100ppb,Unknown,Lamotrigine,10810,0.1
0_point_5ppb_cal_100_ppb_IS,Unknown,Lamotrigine,114462,0.5
1ppb_cal_100ppb,Unknown,Lamotrigine,313809,1
2_point_5ppb_cal_100_ppb_IS,Unknown,Lamotrigine,54132,2.5
5ppb_cal_100ppb,Unknown,Lamotrigine,151826,5
10ppb_cal_100_ppb_IS,Unknown,Lamotrigine,324245,10
0_point_1ppb_cal_100ppb,Unknown,Fluconazole,77781,0.1
0_point_5ppb_cal_100_ppb_IS,Unknown,Fluconazole,569514,0.5
1ppb_cal_100ppb,Unknown,Fluconazole,1249177,1
2_point_5ppb_cal_100_ppb_IS,Unknown,Fluconazole,253515,2.5
5ppb_cal_100ppb,Unknown,Fluconazole,641238,5
10ppb_cal_100_ppb_IS,Unknown,Fluconazole,1210828,10
0_point_1ppb_cal_100ppb,Unknown,Sulfamethizole-d4,4310874,0.1
0_point_5ppb_cal_100_ppb_IS,Unknown,Sulfamethizole-d4,4254042,0.5
1ppb_cal_100ppb,Unknown,Sulfamethizole-d4,4024886,1
2_point_5ppb_cal_100_ppb_IS,Unknown,Sulfamethizole-d4,4598593,2.5
5ppb_cal_100ppb,Unknown,Sulfamethizole-d4,4539308,5
10ppb_cal_100_ppb_IS,Unknown,Sulfamethizole-d4,4462405,10
