FeatureID,Mass,Retention_time,A1.mzML,A2.mzML,A3.mzML,A4.mzML,A5.mzML,A6.mzML,A7.mzML,A8.mzML,A9.mzML,A10.mzML,A11.mzML,A12.mzML,A13.mzML,A14.mzML,A15.mzML,pooled_QC_1.mzML
1260,150.979,0.834,1.50E-07,8.87E-06,1.03E-07,1.26E-07,2.39E-06,2.98E-07,9.89E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07
7355,151.039,2.642,0.002154966,0.001272689,0.001288276,0.000603221,0.000719284,0.000117208,3.96E-05,1.92E-06,0.003685466,0.000245724,5.39E-05,1.71E-05,2.02E-05,1.79E-05,2.18E-05,0.001572055
7011,151.039,2.584,0.000226474,0.000276955,3.46E-05,3.46E-06,1.91E-06,6.52E-05,3.94E-05,1.92E-06,8.52E-05,0.000272717,6.39E-05,4.95E-05,5.96E-05,3.13E-05,2.83E-05,0.000101718
5314,151.039,2.078,9.40E-05,0.000107514,5.28E-05,9.79E-06,1.32E-05,2.31E-06,2.51E-06,1.92E-06,4.92E-05,0.000103452,8.97E-06,1.71E-05,2.70E-05,2.94E-05,2.22E-05,3.10E-05
5625,151.039,2.173,0.000137145,0.000172531,6.37E-05,1.13E-05,2.17E-05,3.25E-06,2.51E-06,1.92E-06,7.19E-05,7.57E-05,1.38E-05,4.40E-06,2.71E-06,1.43E-05,6.15E-06,6.64E-05
18913,151.039,5.237,5.51E-05,2.36E-05,2.89E-05,4.55E-06,8.70E-06,2.98E-07,2.51E-06,1.92E-06,4.12E-06,6.58E-05,1.94E-05,3.28E-05,2.64E-05,4.08E-05,1.59E-05,4.01E-05
12007,151.039,3.561,9.77E-05,3.19E-05,5.60E-05,2.65E-05,3.67E-05,2.83E-06,2.51E-06,1.92E-06,0.000103277,6.28E-05,5.56E-06,8.11E-06,1.63E-05,6.27E-06,4.76E-06,4.77E-05
14593,151.039,4.132,4.93E-05,1.73E-05,1.57E-05,3.00E-06,6.18E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,0.000644906,0.000112939,0.000209834,5.89E-06,6.56E-06,1.36E-05,4.41E-05
13389,151.039,3.892,9.13E-05,4.38E-05,4.66E-05,1.35E-05,2.52E-05,7.10E-07,2.51E-06,1.92E-06,4.95E-05,0.000108644,6.40E-05,2.21E-05,1.89E-05,3.58E-05,1.73E-05,4.65E-05
2148,152.917,0.956,1.50E-07,2.67E-05,1.03E-07,1.26E-07,1.02E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07
2695,152.917,1.077,1.50E-07,4.81E-05,1.03E-07,1.26E-07,1.46E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.22E-07,4.47E-07,6.62E-07,2.29E-07
4945,153.019,1.911,0.000100716,3.52E-05,2.45E-05,1.24E-06,2.85E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,0.000166389,3.60E-05,3.25E-05,0.000306547,5.47E-05,5.55E-05,1.71E-05
15059,153.019,4.26,2.47E-05,5.78E-06,1.37E-05,1.26E-07,9.43E-08,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,3.20E-05,0.00057722,1.93E-05,6.58E-05
8120,153.019,2.848,0.000133208,2.22E-05,4.31E-05,6.77E-07,2.94E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,1.23E-05,3.03E-06,2.05E-06,2.42E-05,5.30E-05,3.05E-05,3.42E-05
6054,153.019,2.332,4.30E-05,2.64E-05,2.79E-05,2.21E-06,6.39E-06,2.98E-07,2.51E-06,1.92E-06,2.62E-05,4.89E-05,1.80E-06,2.50E-05,1.91E-05,1.38E-05,3.53E-06,2.49E-05
10272,153.019,3.249,6.73E-05,1.70E-05,3.54E-05,1.26E-07,4.24E-07,2.98E-07,2.51E-06,1.92E-06,2.76E-06,6.72E-05,1.69E-05,2.05E-06,4.86E-05,2.43E-05,4.28E-05,2.59E-05
11400,153.03,3.453,8.55E-07,4.77E-06,3.17E-06,6.64E-06,1.50E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,7.78E-05,9.30E-06,0.000198734,3.68E-05,1.99E-05,1.70E-05,1.50E-05
5346,153.055,2.081,0.000311774,0.000169123,0.000226086,5.49E-05,0.000110733,1.43E-05,1.13E-05,1.92E-06,0.000398811,0.000259755,8.23E-05,5.83E-05,3.55E-05,2.97E-05,1.96E-05,0.000162723
5641,153.055,2.195,0.000819457,0.00046145,0.000546961,0.000145591,0.000285552,2.95E-05,2.22E-05,1.92E-06,0.000995528,0.000280081,3.56E-05,0.000130776,3.42E-05,3.84E-05,3.34E-05,0.000412321
19160,153.128,5.301,0.000126913,6.13E-05,6.29E-05,1.58E-05,2.46E-05,8.95E-07,0.000114793,1.86E-05,5.76E-05,0.000165749,6.48E-05,6.68E-05,6.08E-05,7.50E-05,1.90E-05,9.78E-05
17046,155.071,4.712,4.60E-05,1.52E-05,2.48E-05,1.31E-06,1.59E-06,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,3.43E-06,4.47E-07,6.62E-07,1.52E-05
15849,155.107,4.414,8.41E-05,3.99E-05,3.06E-05,2.89E-05,5.23E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.46E-05,2.05E-05,2.05E-06,3.09E-05,7.63E-05,1.41E-05,9.95E-05
12186,155.107,3.636,2.42E-05,9.80E-06,5.84E-06,2.05E-05,1.87E-05,2.98E-07,9.31E-05,4.19E-06,2.84E-05,9.04E-05,9.20E-06,4.03E-05,2.68E-05,5.26E-05,3.46E-06,3.49E-05
20159,155.143,5.59,4.31E-05,1.97E-06,5.95E-06,2.85E-06,1.63E-06,2.98E-07,3.15E-05,1.92E-06,2.76E-06,4.09E-06,1.80E-06,2.05E-06,5.07E-05,6.24E-05,6.62E-07,2.98E-05
10339,157.05,3.312,1.45E-06,5.33E-07,5.37E-07,1.45E-05,2.74E-05,2.98E-07,2.51E-06,1.92E-06,2.76E-06,4.09E-06,1.80E-06,9.51E-05,5.22E-07,4.47E-07,6.62E-07,2.76E-05
